costa,visa,costa0001,PRIMARY,,
iceland-bonus-card,amex,8042520049,PRIMARY,,
iceland-bonus-card,amex,9445581267,PRIMARY,,
iceland-bonus-card,amex,9420000887,PRIMARY,,
iceland-bonus-card,amex,9420000895,PRIMARY,,
iceland-bonus-card,amex,9441154150,PRIMARY,,
iceland-bonus-card,amex,9420996654,PRIMARY,,
iceland-bonus-card,amex,9420996670,PRIMARY,,
iceland-bonus-card,amex,9421715806,PRIMARY,,
iceland-bonus-card,amex,9421715814,PRIMARY,,
iceland-bonus-card,amex,9421715822,PRIMARY,,
iceland-bonus-card,amex,9421802109,PRIMARY,,
iceland-bonus-card,amex,9421802117,PRIMARY,,
iceland-bonus-card,amex,9421802125,PRIMARY,,
iceland-bonus-card,amex,9421802133,PRIMARY,,
iceland-bonus-card,amex,9427503677,PRIMARY,,
iceland-bonus-card,amex,9427664354,PRIMARY,,
iceland-bonus-card,amex,9427695309,PRIMARY,,
iceland-bonus-card,amex,9427926795,PRIMARY,,
iceland-bonus-card,amex,9427926803,PRIMARY,,
iceland-bonus-card,amex,9427926811,PRIMARY,,
iceland-bonus-card,amex,9427928270,PRIMARY,,
iceland-bonus-card,amex,9427959598,PRIMARY,,
iceland-bonus-card,amex,9427959606,PRIMARY,,
iceland-bonus-card,amex,9427959622,PRIMARY,,
iceland-bonus-card,amex,9427959630,PRIMARY,,
iceland-bonus-card,amex,9427959648,PRIMARY,,
iceland-bonus-card,amex,9427959655,PRIMARY,,
iceland-bonus-card,amex,9427959663,PRIMARY,,
iceland-bonus-card,amex,9427959671,PRIMARY,,
iceland-bonus-card,amex,9427959705,PRIMARY,,
iceland-bonus-card,amex,9427959713,PRIMARY,,
iceland-bonus-card,amex,9427959721,PRIMARY,,
iceland-bonus-card,amex,9427959739,PRIMARY,,
iceland-bonus-card,amex,9427959747,PRIMARY,,
iceland-bonus-card,amex,9427959754,PRIMARY,,
iceland-bonus-card,amex,9427959770,PRIMARY,,
iceland-bonus-card,amex,9427959804,PRIMARY,,
iceland-bonus-card,amex,9427959820,PRIMARY,,
iceland-bonus-card,amex,9427959838,PRIMARY,,
iceland-bonus-card,amex,9427959846,PRIMARY,,
iceland-bonus-card,amex,9427959853,PRIMARY,,
iceland-bonus-card,amex,9427959861,PRIMARY,,
iceland-bonus-card,amex,9427959887,PRIMARY,,
iceland-bonus-card,amex,9427959895,PRIMARY,,
iceland-bonus-card,amex,9427959929,PRIMARY,,
iceland-bonus-card,amex,9427959937,PRIMARY,,
iceland-bonus-card,amex,9427959945,PRIMARY,,
iceland-bonus-card,amex,9427959986,PRIMARY,,
iceland-bonus-card,amex,9427960026,PRIMARY,,
iceland-bonus-card,amex,9427960034,PRIMARY,,
iceland-bonus-card,amex,9427960042,PRIMARY,,
iceland-bonus-card,amex,9427960059,PRIMARY,,
